kod;rodzina;kodbarwy;ilosc;psu;ppsu;sterowanie;klasa;kolor;IP;IK;vin;hz;vs;zmienne;p;flux;wyd;pled;fluxled;wydled;cri;cct;barwa;masa;montaz;temperatury;dyfuzor;wymiary;dopisek;foto;rys;rozsyl;uwagi
xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;1F;solid-foto;solid-wymiary_1.2ft;GL-SOLID-86710;3F
GL-SOLID-86710-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86710;8;1050;128;120;1310;164;>80;4000 K;Neutralna biel;2,4;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x680 (360);Tak;solid-foto;solid-wymiary_1.2ft;GL-SOLID-86710;Tak
GL-SOLID-86720-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86720;10;1250;128;120;1560;156;>80;4000 K;Neutralna biel;2,4;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x680 (360);Tak;solid-foto;solid-wymiary_1.2ft;GL-SOLID-86710;Tak
GL-SOLID-86730-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86730;13;1710;130;120;2140;165;>80;4000 K;Neutralna biel;2,4;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x680 (360);Tak;solid-foto;solid-wymiary_1.2ft;GL-SOLID-86710;Tak
GL-SOLID-86740-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86740;16;2080;129;120;2600;162;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86750-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86750;19;2480;130;120;3100;163;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86760-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86760;26;3440;132;120;4300;165;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86770-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86770;36;4900;136;120;6120;170;>80;4000 K;Neutralna biel;4,3;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86924-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86924;50;6950;140;120;8690;174;>80;4000 K;Neutralna biel;4,4;Zwieszany / nastropowy;-25°C do 40°C ;Satynowane szkło hartowane;120x67x1290 (850);Tak;solid-foto;solid-wymiary_1.4ft;GL-SOLID-86710;Tak
GL-SOLID-86780-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86780;19;2590;133;120;3240;171;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600 (1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86790-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86790;23;3080;132;120;3850;167;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
GL-SOLID-86800-840;SOLID;840;;Tak;;Brak;I;Szary;IP65;IK10;220 - 240 VAC;50 / 60 Hz;;86800;39;4270;134;120;5340;137;>80;4000 K;Neutralna biel;5,3;Zwieszany / nastropowy;-25°C do 45°C ;Satynowane szkło hartowane;120x67x1600(1050);Tak;solid-foto;solid-wymiary_1.5ft;GL-SOLID-86710;Tak
